UniqueID,next_3m_txn_count,TransactionAmount_sum,TransactionAmount_mean,TransactionAmount_median,TransactionAmount_std,TransactionAmount_count,TransactionAmount_max,TransactionAmount_min,StatementBalance_mean,StatementBalance_median,StatementBalance_std,StatementBalance_min,StatementBalance_max,Credit,Debit,NetInterestIncome_sum,NetInterestIncome_mean,NetInterestIncome_std,NetInterestRevenue_sum,NetInterestRevenue_mean,Product_nunique,Gender,IncomeCategory,AnnualGrossIncome,OccupationCategory,CustomerStatus
00093e2d-9e1e-4061-ad27-a79b8ff9e165,129,-894563.3999999998,-572.7038412291932,-925.52,88833.40907707828,1562,1000000.0,-1000000.0,79175.34080025608,39337.81,152572.84210389233,-44149.01,1000000.0,1351,211,58687.439999999995,1304.1653333333331,2414.1254380271957,10647.86,236.61911111111112,3.0,M,High Income,2244579.16,Management / Executive,Active Customer
0011d60f-a4e2-4333-81fc-2d557a82109b,16,-2000656.68,-7970.74374501992,-301.59,132902.0584723537,251,1000000.0,-1000000.0,463595.3049003984,177155.14,436019.1744857644,35905.31,1000000.0,174,77,-37291.18,-1775.7704761904763,3450.2775929923027,20482.99,975.3804761904763,1.0,M,High Income,1251211.8,Management / Executive,Active Customer
0016f1e2-64c1-4c65-a668-1dc6bf3b5875,117,-127.16,-2.89,-2.02,3.0393443295369433,44,0.0,-8.05,279.8361363636364,287.955,48.50843490382041,184.19,369.23,22,22,-42.32,-2.0152380952380953,0.4283878972102159,105.33,5.015714285714286,1.0,M,Middle Income,344297.42,Other / Unclassified,Active Customer
001aa3c5-632d-435e-a421-cc3615ccef4d,70,87729.20000000001,258.02705882352944,-895.7650000000001,89647.20824029448,340,1000000.0,-698552.99,81728.20870588235,50704.05,138267.89979447328,0.0,1000000.0,244,96,-17764.52,-433.2809756097561,852.4247777892338,6773.93,165.21780487804878,2.0,F,Very High Income,1846455.79,Management / Executive,Active Customer
00298c6f-4f9d-4f28-b72c-ad0e56e9eb84,393,44110.44999999998,20.65095973782771,-143.64499999999998,9755.953588733335,2136,122286.62,-38055.67,155872.66804307117,155083.425,83783.38873926894,0.0,362894.66,2012,124,-10190.56,-463.2072727272727,859.8804219313167,6383.57,290.1622727272727,2.0,M,Very High Income,2176785.64,Management / Executive,Active Customer
00311e57-09d7-4908-8e27-9bb6e4720286,72,-231089.3299999998,-140.82226081657515,-320.56,41948.7060816203,1641,873871.48,-666355.72,544389.2539305302,547743.75,235413.90728707841,5511.55,1000000.0,1347,294,-61173.09,-1054.708448275862,1559.8723550272477,8116.99,139.94810344827584,3.0,M,High Income,1436566.35,Management / Executive,Active Customer
00330c85-a6b6-4089-a64a-7a0a6999d24a,18,-388.87000000000006,-3.187459016393443,1.67,1189.3839768250625,122,7215.76,-8476.96,1057.5781147540984,813.0,1128.2153641780858,0.0,9001.3,43,79,-64.05,-3.05,2.4471207571348006,0.0,0.0,1.0,M,Low Income,6120.16,Not Economically Active,Active Customer
0035ddb5-1120-4c13-8ad8-be275345fffa,106,-694888.3099999998,-712.7059589743587,-1256.72,61475.75455412901,975,1000000.0,-1000000.0,159705.26365128206,133305.12,116267.57549007713,-26239.03,1000000.0,693,282,-14446.72,-722.336,396.1843779220398,9427.81,471.3905,1.0,M,High Income,1483121.76,Management / Executive,Active Customer
00394f7b-acad-4cf0-bc8c-32ac3f1733b9,152,-92909.16999999998,-38.79297286012525,-175.65,12572.844476697193,2395,260819.97,-294498.03,42543.20662212944,37239.53,30034.353275060366,403.31,321126.99,2130,265,-5228.51,-248.9766666666667,129.41814479945742,10290.05,490.0023809523809,1.0,M,Not Disclosed / Unknown,0.0,Not Economically Active,Active Customer
0044942a-ac2b-414d-b8b2-46b280cf0b97,280,-231402.66999999995,-49.41333973948323,-120.68,8018.557972242905,4683,119196.6,-63648.33,-107779.849771514,-115753.28,65618.9656400395,-247280.69,75188.17,3957,726,0.0,0.0,0.0,0.0,0.0,0.0,M,High Income,1493837.37,Management / Executive,Active Customer
