mjd filter flux flux_error zp zpsys
0.0 desg -1.97 4.787 27.5 ab
0.01600000000325963 desr -3.665 5.335 27.5 ab
0.031000000002677552 desi -10.25 5.439 27.5 ab
0.06199999999807915 desz -2.231 4.691 27.5 ab
2.0 desg 0.812 2.238 27.5 ab
2.139999999999418 desr 1.519 3.03 27.5 ab
2.1560000000026776 desi -2.973 4.2 27.5 ab
2.186999999998079 desz 1.071 3.517 27.5 ab
9.984000000004016 desg 0.8852 1.703 27.5 ab
10.0 desr 1.068 1.252 27.5 ab
10.01600000000326 desi -0.3665 1.897 27.5 ab
10.039000000004307 desz -0.1251 2.175 27.5 ab
11.976000000002387 desg 3.156 9.76 27.5 ab
11.988000000004831 desr 1.522 3.876 27.5 ab
12.004000000000815 desi -5.178 8.07 27.5 ab
12.031000000002678 desz -3.371 4.692 27.5 ab
16.949000000000524 desg 7.711 3.774 27.5 ab
16.957000000002154 desr -0.8778 2.35 27.5 ab
22.984000000004016 desi -3.921 8.066 27.5 ab
23.00800000000163 desz -5.513 5.636 27.5 ab
29.984000000004016 desg 2.391 2.284 27.5 ab
30.0 desr 13.64 1.628 27.5 ab
32.01900000000023 desi 5.938 2.145 27.5 ab
32.042999999997846 desz 7.684 2.206 27.5 ab
37.99199999999837 desg 2.214 1.603 27.5 ab
38.00800000000163 desr 16.81 1.151 27.5 ab
39.9800000000032 desi 13.69 1.425 27.5 ab
40.01900000000023 desz 14.55 1.839 27.5 ab
43.88999999999942 desg 3.788 4.491 27.5 ab
43.90200000000186 desr 19.7 3.604 27.5 ab
44.02300000000105 desi 38.67 13.48 27.5 ab
44.05500000000029 desz 17.27 4.028 27.5 ab
44.875 desg 5.52 6.422 27.5 ab
44.88999999999942 desr 16.16 3.144 27.5 ab
45.01900000000023 desi -5.066 9.795 27.5 ab
45.03900000000431 desz 23.48 4.856 27.5 ab
50.859000000004016 desg 6.001 26.12 27.5 ab
50.875 desr 28.43 11.66 27.5 ab
50.984000000004016 desi -5.082 5.181 27.5 ab
51.01600000000326 desz 11.53 2.853 27.5 ab
51.859000000004016 desg 16.52 30.75 27.5 ab
51.984000000004016 desr 11.39 3.605 27.5 ab
52.0 desi 21.97 7.066 27.5 ab
52.02700000000186 desz 21.53 2.955 27.5 ab
52.86300000000483 desg 10.78 9.317 27.5 ab
52.870999999999185 desr 8.212 3.869 27.5 ab
53.01900000000023 desi 20.14 6.33 27.5 ab
53.042999999997846 desz 11.02 2.93 27.5 ab
53.86300000000483 desg 8.541 7.697 27.5 ab
53.984000000004016 desr 14.57 2.671 27.5 ab
54.0 desi 5.169 4.793 27.5 ab
54.01900000000023 desz 16.7 3.035 27.5 ab
57.97299999999814 desg 1.278 3.788 27.5 ab
57.98800000000483 desr 10.65 1.773 27.5 ab
58.0 desi 10.35 3.208 27.5 ab
58.02300000000105 desz 18.71 2.958 27.5 ab
58.98800000000483 desg -1.121 2.002 27.5 ab
59.0 desr 10.26 1.889 27.5 ab
59.01600000000326 desi 9.381 2.791 27.5 ab
59.03500000000349 desz 20.82 3.215 27.5 ab
60.004000000000815 desg -1.005 3.44 27.5 ab
60.01600000000326 desr 13.08 2.271 27.5 ab
60.03500000000349 desi 8.749 2.869 27.5 ab
60.065999999998894 desz 11.78 3.875 27.5 ab
61.01600000000326 desg -4.433 2.973 27.5 ab
61.02700000000186 desr 7.509 2.032 27.5 ab
61.04699999999866 desi 9.875 3.242 27.5 ab
61.07800000000134 desz 18.72 4.875 27.5 ab
66.03100000000268 desg 0.3748 1.691 27.5 ab
66.03900000000431 desr 7.174 1.236 27.5 ab
66.05099999999948 desi 7.287 1.857 27.5 ab
66.07800000000134 desz 12.44 2.429 27.5 ab
67.00800000000163 desg -1.997 1.784 27.5 ab
67.01600000000326 desr 6.455 1.383 27.5 ab
67.03100000000268 desi 6.131 1.993 27.5 ab
67.05099999999948 desz 15.94 2.252 27.5 ab
68.01900000000023 desg -0.241 4.786 27.5 ab
68.02700000000186 desr 5.73 1.183 27.5 ab
68.04699999999866 desi 10.19 2.088 27.5 ab
68.07400000000052 desz 14.85 5.926 27.5 ab
69.06199999999808 desg 2.123 2.001 27.5 ab
69.07400000000052 desr 2.072 3.171 27.5 ab
69.09000000000378 desi 3.45 5.643 27.5 ab
69.11300000000483 desz 14.37 12.77 27.5 ab
71.03500000000349 desg -1.355 1.753 27.5 ab
71.04299999999785 desr 4.186 1.33 27.5 ab
71.05800000000454 desi 5.196 2.211 27.5 ab
71.07800000000134 desz 14.25 3.042 27.5 ab
81.06999999999971 desg 4.326 8.081 27.5 ab
81.08600000000297 desr 0.7201 4.419 27.5 ab
81.98800000000483 desi 8.931 4.544 27.5 ab
82.00800000000163 desz 8.424 3.064 27.5 ab
84.04299999999785 desg 4.622 3.959 27.5 ab
84.05800000000454 desr 1.517 1.854 27.5 ab
89.98400000000402 desi 2.474 2.213 27.5 ab
90.00800000000163 desz 8.608 3.054 27.5 ab
96.98800000000483 desg 0.4134 2.033 27.5 ab
97.00400000000081 desr 0.8032 1.445 27.5 ab
98.05099999999948 desi 1.118 3.009 27.5 ab
99.01900000000023 desz 7.062 3.405 27.5 ab
104.98800000000483 desg 0.6774 3.403 27.5 ab
105.01200000000244 desr 2.931 2.179 27.5 ab
109.98800000000483 desi 3.672 4.986 27.5 ab
110.01900000000023 desz 13.35 3.902 27.5 ab
111.86300000000483 desg 25.28 11.9 27.5 ab
111.87099999999919 desr -2.105 4.183 27.5 ab
111.9800000000032 desi 5.851 4.329 27.5 ab
112.00400000000081 desz 3.799 4.464 27.5 ab
119.86699999999837 desg -1.078 1.58 27.5 ab
119.875 desr 0.4162 1.219 27.5 ab
119.88999999999942 desi 2.102 1.863 27.5 ab
119.91799999999785 desz 1.924 2.12 27.5 ab
127.92199999999866 desg 0.7771 1.644 27.5 ab
127.93000000000029 desr 1.517 1.301 27.5 ab
127.9409999999989 desi 2.441 2.191 27.5 ab
128.87099999999919 desz 2.648 2.711 27.5 ab
135.875 desg 1.063 5.96 27.5 ab
135.88300000000163 desr 1.64 2.524 27.5 ab
135.91799999999785 desi 2.409 3.079 27.5 ab
139.89400000000023 desz 5.384 4.25 27.5 ab
143.86300000000483 desg 5.602 2.915 27.5 ab
143.87099999999919 desr -0.2122 1.365 27.5 ab
143.89400000000023 desi 1.706 3.216 27.5 ab
148.86699999999837 desz 5.046 2.608 27.5 ab
155.87099999999919 desg 3.191 1.817 27.5 ab
155.87900000000081 desr -0.9572 1.383 27.5 ab
156.87099999999919 desi -1.279 2.176 27.5 ab
157.87099999999919 desz 0.1237 3.38 27.5 ab
