mjd filter flux flux_error zp zpsys
0.0 desg -4.471 15.03 27.5 ab
0.008000000001629815 desr 4.74 5.493 27.5 ab
0.014999999999417923 desi -6.741 9.413 27.5 ab
0.023000000001047738 desz -4.372 5.8 27.5 ab
1.0230000000010477 desg 0.4944 14.05 27.5 ab
1.0350000000034925 desr 4.566 7.252 27.5 ab
1.0509999999994761 desi -5.899 12.95 27.5 ab
1.7730000000010477 desz -8.79 7.135 27.5 ab
2.019000000000233 desg 0.6652 13.68 27.5 ab
2.0310000000026776 desr 7.126 6.673 27.5 ab
2.0469999999986612 desi -6.389 12.39 27.5 ab
3.004000000000815 desg 11.63 11.66 27.5 ab
3.019000000000233 desr -3.413 6.018 27.5 ab
3.0310000000026776 desi -2.447 10.47 27.5 ab
3.0469999999986612 desz 3.127 5.79 27.5 ab
7.0 desg -16.58 9.642 27.5 ab
7.014999999999418 desr -3.096 4.66 27.5 ab
7.027000000001863 desi 2.418 6.641 27.5 ab
7.042999999997846 desz -13.2 6.754 27.5 ab
8.014999999999418 desg -0.1891 7.809 27.5 ab
8.027000000001863 desr -0.8045 3.728 27.5 ab
8.042999999997846 desi -4.282 6.08 27.5 ab
8.777000000001863 desz -2.34 7.011 27.5 ab
9.042999999997846 desg -8.369 11.82 27.5 ab
9.754000000000815 desr 3.428 4.311 27.5 ab
9.762000000002445 desi 8.418 5.468 27.5 ab
10.042999999997846 desg 9.211 10.62 27.5 ab
14.75 desz -0.9374 8.327 27.5 ab
15.023000000001048 desg 2.445 4.2 27.5 ab
15.039000000004307 desr -1.032 3.298 27.5 ab
15.74199999999837 desi 6.844 7.033 27.5 ab
16.012000000002445 desg 2.828 4.123 27.5 ab
16.023000000001048 desr -2.246 3.224 27.5 ab
16.75 desz -8.804 5.013 27.5 ab
17.023000000001048 desg -1.107 4.228 27.5 ab
17.75800000000163 desr 0.185 2.382 27.5 ab
17.773000000001048 desi 2.118 3.884 27.5 ab
18.925999999999476 desg 3.993 2.98 27.5 ab
18.93300000000454 desz 5.934 4.386 27.5 ab
20.00800000000163 desr 3.867 2.374 27.5 ab
20.019000000000233 desi -3.071 4.228 27.5 ab
29.8550000000032 desg 13.77 12.64 27.5 ab
29.870999999999185 desz 5.478 5.984 27.5 ab
29.976000000002387 desr -16.05 7.783 27.5 ab
29.984000000004016 desi 8.295 12.62 27.5 ab
32.9690000000046 desg -12.98 10.09 27.5 ab
32.97600000000239 desr 0.4783 4.184 27.5 ab
32.984000000004016 desi -6.881 7.031 27.5 ab
32.99199999999837 desz 1.025 4.893 27.5 ab
46.8550000000032 desg 1.853 3.31 27.5 ab
46.875 desr 0.7948 2.241 27.5 ab
46.89400000000023 desi 4.618 4.495 27.5 ab
46.90600000000268 desz 5.467 5.327 27.5 ab
54.90600000000268 desg 11.92 6.29 27.5 ab
54.91400000000431 desr 10.74 3.34 27.5 ab
54.917999999997846 desi 16.91 5.828 27.5 ab
54.925999999999476 desz 12.1 5.05 27.5 ab
59.90200000000186 desg -15.08 11.79 27.5 ab
59.917999999997846 desr 14.3 6.194 27.5 ab
60.81199999999808 desi -3.467 7.083 27.5 ab
60.82800000000134 desz 12.54 5.429 27.5 ab
63.800999999999476 desg 8.099 11.65 27.5 ab
63.80500000000029 desr 21.11 4.867 27.5 ab
63.89400000000023 desi 8.855 5.607 27.5 ab
63.90200000000186 desz 21.47 5.176 27.5 ab
75.75400000000081 desg 6.613 2.495 27.5 ab
75.75800000000163 desr 23.16 1.745 27.5 ab
75.77300000000105 desi 15.26 2.536 27.5 ab
75.78900000000431 desz 19.22 3.954 27.5 ab
83.75800000000163 desg -1.793 7.572 27.5 ab
83.76900000000023 desr 18.92 3.0 27.5 ab
83.79299999999785 desi 14.96 5.035 27.5 ab
83.8159999999989 desz 25.58 5.452 27.5 ab
91.74599999999919 desg 8.88 6.175 27.5 ab
91.75400000000081 desr 18.33 2.531 27.5 ab
91.76200000000244 desi 10.89 3.669 27.5 ab
91.77300000000105 desz 18.08 4.411 27.5 ab
99.75 desg 1.255 3.36 27.5 ab
99.75800000000163 desr 15.01 2.438 27.5 ab
99.77300000000105 desi 14.46 4.064 27.5 ab
99.78900000000431 desz 17.34 6.792 27.5 ab
107.76499999999942 desg -0.6918 3.708 27.5 ab
107.78500000000349 desr 15.23 3.034 27.5 ab
108.76499999999942 desi 18.59 2.959 27.5 ab
108.78100000000268 desz 24.93 3.78 27.5 ab
116.74199999999837 desg 6.548 7.143 27.5 ab
116.75800000000163 desr 12.45 3.787 27.5 ab
117.75800000000163 desi 29.93 6.018 27.5 ab
119.7300000000032 desz 14.65 5.031 27.5 ab
121.72600000000239 desg -1.949 6.833 27.5 ab
121.7300000000032 desr 17.93 3.959 27.5 ab
121.73800000000483 desi 16.05 6.694 27.5 ab
122.72600000000239 desz 25.69 6.118 27.5 ab
