mjd filter flux flux_error zp zpsys
0.0 desg 1.61 2.074 27.5 ab
0.023999999997613486 desr 0.1857 1.273 27.5 ab
0.04299999999784632 desi -2.756 1.799 27.5 ab
0.0669999999954598 desz -2.293 2.291 27.5 ab
6.925999999999476 desg 1.061 4.849 27.5 ab
6.93399999999383 desr -0.5612 2.113 27.5 ab
6.948999999993248 desi -1.718 3.059 27.5 ab
6.980999999999767 desz 3.325 2.584 27.5 ab
8.06699999999546 desg -4.717 6.491 27.5 ab
8.081999999994878 desr 0.9261 2.701 27.5 ab
8.097999999998137 desi -2.918 5.085 27.5 ab
10.875 desz 1.491 2.061 27.5 ab
10.980999999999767 desg -2.01 3.053 27.5 ab
10.995999999999185 desr 1.587 1.735 27.5 ab
11.011999999995169 desi -4.324 2.654 27.5 ab
21.87899999999354 desg -1.26 1.371 27.5 ab
21.890999999995984 desr -1.613 0.8999 27.5 ab
21.909999999996217 desi -1.501 1.413 27.5 ab
21.93399999999383 desz -0.5288 2.208 27.5 ab
29.882999999994354 desg -1.552 2.67 27.5 ab
29.8949999999968 desr 1.099 1.496 27.5 ab
29.91399999999703 desi 0.1915 2.388 27.5 ab
29.937999999994645 desz 0.3194 2.434 27.5 ab
35.96499999999651 desg 5.306 4.218 27.5 ab
35.98099999999977 desr 6.661 1.865 27.5 ab
36.94899999999325 desi 8.832 2.787 27.5 ab
36.98099999999977 desz 5.384 2.977 27.5 ab
39.929999999993015 desg 10.03 6.633 27.5 ab
39.937999999994645 desr 6.531 2.897 27.5 ab
39.94899999999325 desi 9.83 3.411 27.5 ab
39.98099999999977 desz 14.9 2.972 27.5 ab
50.87899999999354 desg 12.12 1.511 27.5 ab
50.890999999995984 desr 44.47 1.307 27.5 ab
50.90999999999622 desi 40.75 1.773 27.5 ab
50.93399999999383 desz 43.16 2.704 27.5 ab
58.882999999994354 desg 8.209 2.765 27.5 ab
58.8949999999968 desr 46.97 1.884 27.5 ab
58.91399999999703 desi 49.23 2.882 27.5 ab
58.937999999994645 desz 53.73 3.149 27.5 ab
66.8949999999968 desg 5.705 3.255 27.5 ab
66.90999999999622 desr 31.64 2.19 27.5 ab
67.84399999999732 desi 33.93 2.448 27.5 ab
67.86699999999837 desz 30.37 2.497 27.5 ab
68.88299999999435 desg 6.755 3.84 27.5 ab
68.8949999999968 desr 26.52 1.892 27.5 ab
68.90999999999622 desi 31.61 3.221 27.5 ab
68.93799999999464 desz 36.2 4.908 27.5 ab
69.88299999999435 desg 3.715 3.354 27.5 ab
69.8949999999968 desr 25.16 1.833 27.5 ab
69.90999999999622 desi 30.97 3.119 27.5 ab
69.93799999999464 desz 46.25 4.859 27.5 ab
