mjd filter flux flux_error zp zpsys
0.0 desg 0.2013 2.656 27.5 ab
0.008000000001629815 desr -0.2776 1.765 27.5 ab
0.023000000001047738 desi -0.9995 2.955 27.5 ab
0.9450000000069849 desz -1.71 3.242 27.5 ab
8.0 desg -2.098 2.466 27.5 ab
8.00800000000163 desr -0.5338 1.881 27.5 ab
8.015000000006694 desi -0.6698 3.014 27.5 ab
9.937000000005355 desz -1.471 2.671 27.5 ab
12.789000000004307 desg 8.19 5.227 27.5 ab
12.801000000006752 desr -3.608 3.577 27.5 ab
12.812000000005355 desi -0.02949 5.47 27.5 ab
12.820000000006985 desz 3.921 5.403 27.5 ab
13.801000000006752 desg 4.242 6.242 27.5 ab
13.812000000005355 desr 0.1323 3.618 27.5 ab
13.820000000006985 desi -4.669 4.922 27.5 ab
19.797000000005937 desz -2.509 5.545 27.5 ab
20.797000000005937 desg 9.525 9.819 27.5 ab
20.801000000006752 desr -5.386 4.318 27.5 ab
20.80800000000454 desi 8.057 7.809 27.5 ab
21.797000000005937 desz 1.128 4.913 27.5 ab
22.797000000005937 desg -0.1761 6.914 27.5 ab
22.80500000000029 desr -1.355 2.783 27.5 ab
22.812000000005355 desi -2.786 4.071 27.5 ab
26.80500000000029 desz 10.75 5.692 27.5 ab
27.812000000005355 desg 1.038 5.171 27.5 ab
27.820000000006985 desr 3.564 5.379 27.5 ab
27.824000000000524 desi -6.644 7.619 27.5 ab
28.80800000000454 desz 7.645 5.125 27.5 ab
29.80800000000454 desg -3.563 3.613 27.5 ab
29.81600000000617 desr -0.1107 2.785 27.5 ab
29.824000000000524 desi -4.733 4.81 27.5 ab
34.8550000000032 desz -6.875 5.345 27.5 ab
35.832000000002154 desg 3.418 4.183 27.5 ab
35.84000000000378 desr 4.38 2.824 27.5 ab
35.8550000000032 desi 3.482 4.407 27.5 ab
36.812000000005355 desz -1.252 3.539 27.5 ab
37.867000000005646 desg -2.043 2.833 27.5 ab
37.88300000000163 desr -1.247 2.463 27.5 ab
37.89400000000023 desi 1.3 5.434 27.5 ab
39.03500000000349 desz -3.362 6.292 27.5 ab
45.984000000004016 desg 6.407 6.131 27.5 ab
45.99600000000646 desr -0.9381 3.374 27.5 ab
46.012000000002445 desi -1.439 6.211 27.5 ab
49.97600000000239 desz -4.697 5.863 27.5 ab
52.85100000000239 desg -4.222 6.914 27.5 ab
52.867000000005646 desr 2.589 4.055 27.5 ab
52.875 desi -8.005 8.215 27.5 ab
57.94100000000617 desz 6.021 5.285 27.5 ab
67.93700000000536 desg -4.116 4.039 27.5 ab
67.95700000000215 desr 8.325 2.897 27.5 ab
68.94900000000052 desi 28.84 3.599 27.5 ab
69.94900000000052 desz 31.33 4.33 27.5 ab
79.82000000000698 desg -1.999 14.5 27.5 ab
79.82800000000134 desr 2.475 5.403 27.5 ab
79.83600000000297 desi 26.06 6.007 27.5 ab
79.85100000000239 desz 30.21 6.761 27.5 ab
83.89400000000023 desg -6.018 7.762 27.5 ab
83.91000000000349 desr 3.815 3.873 27.5 ab
87.82400000000052 desi 29.22 3.529 27.5 ab
87.83600000000297 desz 24.55 4.489 27.5 ab
96.82800000000134 desg 0.2959 2.873 27.5 ab
96.83600000000297 desr 3.823 2.177 27.5 ab
96.84000000000378 desi 9.71 3.059 27.5 ab
96.8550000000032 desz 15.76 3.679 27.5 ab
108.82000000000698 desg 10.05 14.79 27.5 ab
108.82800000000134 desr 0.3178 6.184 27.5 ab
108.83600000000297 desi 3.914 6.913 27.5 ab
109.82000000000698 desz 6.153 13.46 27.5 ab
