mjd filter flux flux_error zp zpsys
0.0 desz -5.527 7.011 27.5 ab
0.26599999999598367 desg -15.98 11.82 27.5 ab
0.9769999999989523 desr -0.06501 4.311 27.5 ab
0.9850000000005821 desi -5.311 5.467 27.5 ab
1.2659999999959837 desg -11.3 10.62 27.5 ab
5.972999999998137 desz -3.955 8.327 27.5 ab
6.245999999999185 desg -5.416 4.201 27.5 ab
6.262000000002445 desr -0.6743 3.298 27.5 ab
6.9649999999965075 desi 7.79 7.034 27.5 ab
7.235000000000582 desg 6.179 4.124 27.5 ab
7.245999999999185 desr 1.919 3.224 27.5 ab
7.972999999998137 desz 0.7763 5.01 27.5 ab
8.245999999999185 desg -3.664 4.228 27.5 ab
8.980999999999767 desr -0.6102 2.382 27.5 ab
8.995999999999185 desi -0.4166 3.883 27.5 ab
10.148999999997613 desg 0.3962 2.979 27.5 ab
10.156000000002678 desz 4.007 4.385 27.5 ab
11.230999999999767 desr 0.965 2.373 27.5 ab
11.24199999999837 desi 3.423 4.227 27.5 ab
21.07800000000134 desg -0.7991 12.63 27.5 ab
21.093999999997322 desz 8.125 5.985 27.5 ab
21.199000000000524 desr 2.081 7.778 27.5 ab
21.207000000002154 desi 3.319 12.62 27.5 ab
24.192000000002736 desg -2.734 10.09 27.5 ab
24.199000000000524 desr 6.109 4.187 27.5 ab
24.207000000002154 desi 8.387 7.033 27.5 ab
24.214999999996508 desz 3.095 4.893 27.5 ab
38.07800000000134 desg 4.252 3.311 27.5 ab
38.09799999999814 desr 6.73 2.25 27.5 ab
38.11699999999837 desi 13.71 4.507 27.5 ab
38.129000000000815 desz 18.37 5.338 27.5 ab
46.129000000000815 desg 8.617 6.296 27.5 ab
46.137000000002445 desr 18.55 3.355 27.5 ab
46.140999999995984 desi 20.61 5.837 27.5 ab
46.14899999999761 desz 19.61 5.059 27.5 ab
51.125 desg 22.95 11.81 27.5 ab
51.140999999995984 desr 26.67 6.209 27.5 ab
52.03499999999622 desi 14.54 7.092 27.5 ab
52.050999999999476 desz 19.43 5.438 27.5 ab
55.02399999999761 desg 20.3 11.7 27.5 ab
55.02799999999843 desr 22.19 4.874 27.5 ab
55.11699999999837 desi 17.69 5.619 27.5 ab
55.125 desz 39.79 5.215 27.5 ab
66.97699999999895 desg 18.44 2.582 27.5 ab
66.98099999999977 desr 37.93 1.853 27.5 ab
66.99599999999919 desi 28.84 2.589 27.5 ab
67.01200000000244 desz 39.2 4.009 27.5 ab
74.98099999999977 desg 9.613 7.593 27.5 ab
74.99199999999837 desr 40.79 3.088 27.5 ab
75.01599999999598 desi 32.57 5.071 27.5 ab
75.03899999999703 desz 36.27 5.477 27.5 ab
82.96899999999732 desg 14.3 6.2 27.5 ab
82.97699999999895 desr 37.61 2.619 27.5 ab
82.98500000000058 desi 39.98 3.749 27.5 ab
82.99599999999919 desz 44.72 4.481 27.5 ab
90.97299999999814 desg 13.83 3.406 27.5 ab
90.98099999999977 desr 33.94 2.521 27.5 ab
90.99599999999919 desi 36.09 4.122 27.5 ab
91.01200000000244 desz 42.86 6.835 27.5 ab
98.98799999999756 desg 14.96 3.748 27.5 ab
99.00800000000163 desr 31.54 3.091 27.5 ab
99.98799999999756 desi 42.46 3.058 27.5 ab
100.00400000000081 desz 48.9 3.866 27.5 ab
107.96499999999651 desg -7.662 7.156 27.5 ab
107.98099999999977 desr 25.13 3.819 27.5 ab
108.98099999999977 desi 34.64 6.035 27.5 ab
110.95300000000134 desz 53.35 5.126 27.5 ab
112.94900000000052 desg 14.99 6.851 27.5 ab
112.95300000000134 desr 22.78 3.978 27.5 ab
112.96100000000297 desi 35.08 6.726 27.5 ab
113.94900000000052 desz 47.48 6.167 27.5 ab
