mjd filter flux flux_error zp zpsys
0.0 desg 9.386 6.202 27.5 ab
0.004000000000814907 desr -2.624 3.584 27.5 ab
0.010999999998603016 desi -3.317 6.148 27.5 ab
0.01900000000023283 desz -4.315 15.08 27.5 ab
4.9799999999959255 desg -13.21 18.68 27.5 ab
4.987999999997555 desr 17.57 9.054 27.5 ab
4.995999999999185 desi -6.098 11.81 27.5 ab
5.004000000000815 desz 1.314 7.694 27.5 ab
5.026999999994587 desg -65.08 33.51 27.5 ab
14.202999999994063 desg 1.893 2.656 27.5 ab
14.210999999995693 desr 1.14 1.765 27.5 ab
14.22599999999511 desi 0.7249 2.955 27.5 ab
15.148000000001048 desz -0.241 3.242 27.5 ab
22.202999999994063 desg -1.856 2.466 27.5 ab
22.210999999995693 desr 2.674 1.881 27.5 ab
22.218000000000757 desi 3.654 3.015 27.5 ab
24.139999999999418 desz -1.408 2.671 27.5 ab
26.99199999999837 desg -3.026 5.225 27.5 ab
27.004000000000815 desr 1.357 3.577 27.5 ab
27.014999999999418 desi -2.372 5.47 27.5 ab
27.023000000001048 desz -3.014 5.403 27.5 ab
28.004000000000815 desg -10.34 6.244 27.5 ab
28.014999999999418 desr 0.8372 3.618 27.5 ab
28.023000000001048 desi -1.167 4.921 27.5 ab
34.0 desz 7.395 5.547 27.5 ab
35.0 desg -1.951 9.818 27.5 ab
35.004000000000815 desr 8.134 4.321 27.5 ab
35.0109999999986 desi -5.829 7.809 27.5 ab
36.0 desz 7.142 4.916 27.5 ab
37.0 desg 9.506 6.917 27.5 ab
37.007999999994354 desr 6.529 2.791 27.5 ab
37.01499999999942 desi 4.216 4.075 27.5 ab
41.007999999994354 desz 20.17 5.704 27.5 ab
42.01499999999942 desg -4.096 5.177 27.5 ab
42.02300000000105 desr 7.919 5.392 27.5 ab
42.02699999999459 desi 20.55 7.634 27.5 ab
43.0109999999986 desz 18.28 5.138 27.5 ab
44.0109999999986 desg 6.345 3.623 27.5 ab
44.01900000000023 desr 19.3 2.823 27.5 ab
44.02699999999459 desi 21.88 4.835 27.5 ab
49.057999999997264 desz 39.25 5.399 27.5 ab
50.03499999999622 desg 3.823 4.201 27.5 ab
50.042999999997846 desr 37.47 2.938 27.5 ab
50.057999999997264 desi 36.41 4.478 27.5 ab
51.01499999999942 desz 38.28 3.62 27.5 ab
52.06999999999971 desg 10.21 2.872 27.5 ab
52.08599999999569 desr 40.71 2.619 27.5 ab
52.096999999994296 desi 45.53 5.523 27.5 ab
53.237999999997555 desz 54.29 6.38 27.5 ab
60.18699999999808 desg 11.44 6.147 27.5 ab
60.199000000000524 desr 43.41 3.502 27.5 ab
60.21499999999651 desi 44.6 6.286 27.5 ab
64.17899999999645 desz 54.58 5.957 27.5 ab
67.05399999999645 desg 12.42 6.93 27.5 ab
67.06999999999971 desr 39.99 4.171 27.5 ab
67.07799999999406 desi 64.21 8.331 27.5 ab
72.14400000000023 desz 42.68 5.35 27.5 ab
82.13999999999942 desg 0.01953 4.04 27.5 ab
82.15999999999622 desr 14.76 2.912 27.5 ab
83.15199999999459 desi 31.2 3.605 27.5 ab
84.15199999999459 desz 31.93 4.332 27.5 ab
94.02300000000105 desg 7.842 14.51 27.5 ab
94.0309999999954 desr 5.818 5.404 27.5 ab
94.03899999999703 desi 12.97 5.989 27.5 ab
94.05399999999645 desz 25.63 6.754 27.5 ab
98.0969999999943 desg 1.111 7.761 27.5 ab
98.11299999999756 desr 2.777 3.873 27.5 ab
102.02699999999459 desi 13.09 3.489 27.5 ab
102.03899999999703 desz 17.18 4.477 27.5 ab
111.0309999999954 desg 4.695 2.875 27.5 ab
111.03899999999703 desr 3.109 2.177 27.5 ab
111.04299999999785 desi 6.392 3.054 27.5 ab
111.05799999999726 desz 18.03 3.682 27.5 ab
123.02300000000105 desg -32.9 14.81 27.5 ab
123.0309999999954 desr 3.248 6.185 27.5 ab
123.03899999999703 desi 13.26 6.917 27.5 ab
124.02300000000105 desz 20.32 13.46 27.5 ab
